"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Spain","ESP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1986760022","2232767617","2796858758","3512148204","3677184196","3867093705","4750261439","5085672723","5997252786","5649562940","5904284637","6863721807","7028652565","6995216586","7047219322","9032583222","10241789363","10718307882","10367021771","9814385692","10850665236","10156621554","11290317379","13369605149","13378214587","16346453615","15400981205","14240904065","14201506500","15566761958","",
"Estonia","EST","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74313570","125367192","175625692","256959726","274954185","834648934","579557392","372999352","530618896","669725308","847002958","804864963","440670804","490024842","370107710","740821251","1539406627","1238690981","1307609261","1328425394","1042325552","978363032","1678112089","1923633846",
"Ethiopia","ETH","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149657","","179832","79636","56864","58776","69799","74424","124284","3397210","574738","219309","4313989","3583734","5400759","5685177","5201037","5791575","7986999","23602365","11843145","29793016","","",
"European Union","EUU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174070034486","167070853761","194847845955","247654955898","262637848847","290240794541","318171928404","353011769709","392757423820","387289529166","386283918633","422590914542","501704968277","549418607972","627452322048","555932836271","583538945186","504378261625","574961589086","654082905417","642422460390","675009148085","693205019706","632443899024","644347602605","616200951946","",
"Fragile and conflict affected situations","FCS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","941653536","1304454842","1667633451","1365398697","1798297635","2159415757","3190700008","4949017845","5516915550","6561501942","8149599309","8481687778","10553011896","9217688264","9119367926","10482880246","10616147734","13752240645","13986615983","13025707405","13505538720","6746780663","5853434235","5357724865","4447572442","3724745015","3961279492","3632887080","3328914557","3571518721","3702238094",
"Fiji","FJI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48338","15236252","1007310","12211449","796662","1399589","","","","","","395286","360127","2338860","2499822","2575986","4419091","2814603","6410354","4628058","4816492","4866445","4886573","2678222","2689877","3246115","3022421","3035276","3803061","4138234",
"France","FRA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19574356251","20920871186","26913884798","30978781293","33338877725","30538363071","34221858989","43018895187","42649162377","48093514933","54664760152","55590460409","58765144272","55540008753","53277217636","57052862496","66065406510","70505675725","81537776323","78821539350","91980274248","82531138981","99735768592","105761429426","108585750298","113250612485","114697237252","104339993891","103839761845","98688797219","",
"Faroe Islands","FRO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16409","22194","","102287","170223","","12623","89799","209177","81567","38295","70646","10941","53616","59464","56156","201446","135174","6422756","346410","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16453304","8861831","","16703990","18496664","41382820","44691661","3057008","2385255","4680420","18008117","26784386","20473823","71084576","45508801","42642923","6724020","","","","","","","","","",
"United Kingdom","GBR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28433358028","30671776886","34632244776","34220217696","34872409643","34806807678","41371824547","51570249515","55500782013","61939455250","64898549541","66256158089","71717486091","71648946915","70421457958","63225293365","65966564145","82538262330","119362439325","61540453520","60467765449","47568044646","60172818879","69611885161","67786969582","69223896551","70652924421","69417266219","68279841407","68625231685","70158572581",
"Georgia","GEO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1302747","2514746","3781742","22757647","11001340","39961736","46988142","31078742","89154260","75237675","65778042","41072248","20792486","14196803","11384665","10878658","19195233","20135300","25939625","34742057","19807885","22175542","26077892",
"Ghana","GHA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1203175","","","","826215","551888","890903","32355721","2820117","1179434","","7734787","552014","1405467","1378894","4637920","5912804","19208592","7732534","23116796","72508462","59681162","","","13891551","39603960","49248143",
